Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C1,C6",2,1uF,0402,CL05A105KA5NQNC,Samwha/CCTC,C52923,,,https://www.lcsc.com/product-detail/C52923.html,,,
C2,1,22uF,0805,CL21A226MAQNNNE,CCTC,C45783,,,https://www.lcsc.com/product-detail/C45783.html,,,
"C3,C8,C9,C12",4,100nF,0402,CL05B104KO5NNNC,CCTC,C1525,,,https://www.lcsc.com/product-detail/C1525.html,,,
C7,1,10uF,0603,CL10A106KP8NNNC,CCTC,C19702,,,https://www.lcsc.com/product-detail/C19702.html,,,
"C10,C11",2,10uF/50V,1210,CS3225X7R106K500NRL,Samsung/CCTC,C2918502,,,https://www.lcsc.com/product-detail/C2918502.html,,,
D1,1,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,USBLC6-2SC6,Ampec/ST-compatible,C2687116,,,https://www.lcsc.com/product-detail/C2687116.html,,,
D2,1,SS34,SMA_L4.3-W2.6-LS5.2-RD,SS34,MDD,C8678,,,https://www.lcsc.com/product-detail/C8678.html,,,
D3,1,SMAJ28A,SMA_L4.3-W2.6-LS5.2-RD,SMAJ28A,Jingdao Microelectronics,C353458,,,https://www.lcsc.com/product-detail/C353458.html,,,
D4,1,1N4148W,D_SOD-123,1N4148W,ST (Semtech),C81598,,,https://www.lcsc.com/product-detail/C81598.html,,,
D5,1,SMAJ12A,SMA_L4.3-W2.6-LS5.2-RD,SMAJ12A,MDD,C113957,,,https://www.lcsc.com/product-detail/C113957.html,,,
J1,1,USB-C Receptacle,USB-C-SMD_TYPE-C-16PIN-2MD-073,TYPE-C 16PIN 2MD(073),Korean Hroparts Elec,C2765186,,,https://www.lcsc.com/product-detail/C2765186.html,,,
J2,1,4-20mA Loop,CONN-TH_KF250NH-5.0-3P,KF250NH-5.0-3P,Cixi Kefa,C976567,,,https://www.lcsc.com/product-detail/C976567.html,,,
L1,1,22uH,IND-SMD_L4.0-W4.0_FNR40XXS,FNR4030S220MT,Sunlord,C167883,,,https://www.lcsc.com/product-detail/C167883.html,,,
LED1,1,Power,0805,NCD0805R1,Nichia-compatible,C84256,,,https://www.lcsc.com/product-detail/C84256.html,,,
Q1,1,BCP53-16,SOT-223,BCP53-16,JSCJ,C148109,,,https://www.lcsc.com/product-detail/C148109.html,,,
Q2,1,MMBT5401,SOT-23,MMBT5401,JSCJ,C8326,,,https://www.lcsc.com/product-detail/C8326.html,,,
Q3,1,AO3401A,SOT-23,AO3401A,Alpha & Omega,C15127,,,https://www.lcsc.com/product-detail/C15127.html,,,
Q4,1,2N7002,SOT-23,2N7002,JSCJ,C8545,,,https://www.lcsc.com/product-detail/C8545.html,,,
"R1,R11,R20",3,10k,0402,0402WGF1002TCE,Uniroyal,C25744,,,https://www.lcsc.com/product-detail/C25744.html,,,
"R5,R6",2,4.7k,0402,0402WGF4701TCE,Uniroyal,C25900,,,https://www.lcsc.com/product-detail/C25900.html,,,
"R7,R8",2,5.1k,0402,0402WGF5101TCE,Uniroyal,C25905,,,https://www.lcsc.com/product-detail/C25905.html,,,
R9,1,330,0402,0402WGF3300TCE,Uniroyal,C25104,,,https://www.lcsc.com/product-detail/C25104.html,,,
"R10,R21",2,390k,0402,FRC0402F3903TS,Uniroyal,C2909352,,,https://www.lcsc.com/product-detail/C2909352.html,,,was C25782 (0402WGF3903TCE) - only 14 in stock 2026-09-13
R12,1,3.32,0805,FRC0805F3R32TS,Uniroyal,C3013220,,,https://www.lcsc.com/product-detail/C3013220.html,,,
"R13,R14",2,10,0402,0402WGF100JTCE,Uniroyal,C25077,,,https://www.lcsc.com/product-detail/C25077.html,,,
"R15,R22",2,100k,0402,0402WGF1003TCE,Uniroyal,C25741,,,https://www.lcsc.com/product-detail/C25741.html,,,
R16,1,18,0402,RC0402FR-0718RL,Yageo,C138043,,,https://www.lcsc.com/product-detail/C138043.html,,,
R17,1,47k,0402,0402WGF4702TCE,Uniroyal,C25792,,,https://www.lcsc.com/product-detail/C25792.html,,,
R18,1,1k,0402,0402WGF1001TCE,Uniroyal,C11702,,,https://www.lcsc.com/product-detail/C11702.html,,,
"SW1,SW2",2,RESET/BOOT,SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_H5.0,KH-6X6X5H-STM,Korean Hroparts Elec,C2837531,,,https://www.lcsc.com/product-detail/C2837531.html,,,
U1,1,ESP32-S3-WROOM-1U-N4,WIFIM-SMD_ESP32-S3-WROOM-1U,ESP32-S3-WROOM-1U-N4,Espressif,C2980296,,,https://www.lcsc.com/product-detail/C2980296.html,,,
U3,1,INA226AIDGSR,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,INA226AIDGSR,Texas Instruments,C49851,,,https://www.lcsc.com/product-detail/C49851.html,,,
U4,1,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,AP2112K-3.3TRG1,Diodes Inc,C51118,,,https://www.lcsc.com/product-detail/C51118.html,,,
U5,1,MT3608,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,MT3608,Aerosemi,C84817,,,https://www.lcsc.com/product-detail/C84817.html,,,
