Comment,Designator,Footprint,LCSC Part #,MPN,Manufacturer,Quantity
1uF,"C1,C6",C_0402_1005Metric,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,2
22uF,C2,C_0805_2012Metric,C45783,CL21A226MAQNNNE,Samsung Electro-Mechanics,1
100nF,"C3,C8,C9,C12",C_0402_1005Metric,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,4
10uF,C7,C_0603_1608Metric,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,1
10uF/50V,"C10,C11",C_1210_3225Metric,C2918502,CS3225X7R106K500NRL,Samwha,2
USBLC6-2SC6,D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2687116,USBLC6-2SC6,UMW,1
SS34,D2,SMA_L4.3-W2.6-LS5.2-RD,C8678,SS34,MDD,1
SMAJ28A,D3,SMA_L4.3-W2.6-LS5.2-RD,C353458,SMAJ28A,Jingdao Microelectronics,1
1N4148W,D4,D_SOD-123,C81598,1N4148W,ST (Semtech),1
SMAJ12A,D5,SMA_L4.3-W2.6-LS5.2-RD,C113957,SMAJ12A,MDD,1
USB-C Receptacle,J1,USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,1
4-20mA Loop,J2,CONN-TH_KF250NH-5.0-3P,C976567,KF250NH-5.0-3P,Cixi Kefa,1
22uH,L1,IND-SMD_L4.0-W4.0_FNR40XXS,C167883,FNR4030S220MT,cjiang,1
Power,LED1,LED_0805_2012Metric,C84256,NCD0805R1,Nationstar,1
BCP53-16,Q1,SOT-223,C148109,BCP53-16,JSCJ,1
MMBT5401,Q2,SOT-23,C8326,MMBT5401,JSCJ,1
AO3401A,Q3,SOT-23,C15127,AO3401A,Alpha & Omega,1
2N7002,Q4,SOT-23,C8545,2N7002,JSCJ,1
10k,"R1,R11,R20",R_0402_1005Metric,C25744,0402WGF1002TCE,Uniroyal,3
4.7k,"R5,R6",R_0402_1005Metric,C25900,0402WGF4701TCE,Uniroyal,2
5.1k,"R7,R8",R_0402_1005Metric,C25905,0402WGF5101TCE,Uniroyal,2
330,R9,R_0402_1005Metric,C25104,0402WGF3300TCE,Uniroyal,1
390k,"R10,R21",R_0402_1005Metric,C2909352,FRC0402F3903TS,FOJAN,2
3.32,R12,R_0805_2012Metric,C3013220,FRC0805F3R32TS,FOJAN,1
10,"R13,R14",R_0402_1005Metric,C25077,0402WGF100JTCE,Uniroyal,2
100k,"R15,R22",R_0402_1005Metric,C25741,0402WGF1003TCE,Uniroyal,2
18,R16,R_0402_1005Metric,C138043,RC0402FR-0718RL,Yageo,1
47k,R17,R_0402_1005Metric,C25792,0402WGF4702TCE,Uniroyal,1
1k,R18,R_0402_1005Metric,C11702,0402WGF1001TCE,Uniroyal,1
KH-6X6X5H-STM,"SW1,SW2",SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_H5.0,C2837531,KH-6X6X5H-STM,Kinghelm,2
ESP32-S3-WROOM-1U-N4,U1,WIFIM-SMD_ESP32-S3-WROOM-1U,C2980296,ESP32-S3-WROOM-1U-N4,Espressif,1
INA226AIDGSR,U3,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,C49851,INA226AIDGSR,Texas Instruments,1
AP2112K-3.3,U4,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118,AP2112K-3.3TRG1,Diodes Inc,1
MT3608,U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C84817,MT3608,Aerosemi,1
