Designator,Mid X,Mid Y,Layer,Rotation
C1,9.5000,-6.3000,Top,0
C2,9.3000,-8.8000,Top,0
C3,9.5000,-2.3000,Top,0
C6,4.5000,-32.0000,Top,90
C7,11.5000,-32.0000,Top,90
C8,23.1000,-46.7000,Top,0
C9,24.4000,-43.4000,Top,-90
C10,31.2000,-30.5000,Top,-90
C11,29.4000,-38.1500,Top,90
C12,15.8500,-33.2500,Top,0
D1,11.5000,-47.5000,Top,180
D2,26.0000,-38.1500,Top,90
D3,30.1000,-48.8000,Top,180
D4,36.9000,-49.0000,Top,180
D5,21.0000,-48.8000,Top,180
J1,11.5000,-55.9700,Top,0
J2,25.5000,-55.0000,Top,0
L1,23.7000,-32.4000,Top,0
LED1,3.8000,-52.0000,Top,90
Q1,35.8000,-42.8000,Top,270
Q2,35.7000,-35.0000,Top,0
Q3,18.8500,-32.9000,Top,180
Q4,17.6000,-28.6000,Top,0
R1,9.5000,-4.3000,Top,0
R5,9.5000,-14.9000,Top,0
R6,20.0000,-23.5000,Top,0
R7,9.8000,-51.0000,Top,90
R8,13.2000,-51.0000,Top,90
R9,3.8000,-45.5000,Top,90
R10,30.3000,-35.2000,Top,180
R11,30.3000,-34.0000,Top,0
R12,30.0000,-43.7500,Top,-90
R13,26.4000,-43.1000,Top,180
R14,26.4000,-44.4000,Top,180
R15,20.0000,-21.0000,Top,0
R16,38.6000,-33.4000,Top,-90
R17,33.0000,-37.2000,Top,90
R18,38.6000,-35.9500,Top,-90
R20,26.4000,-45.8000,Top,180
R21,15.8500,-32.1000,Top,0
R22,15.8500,-30.9500,Top,180
SW1,10.5000,-23.6500,Top,0
SW2,29.5000,-23.6500,Top,0
U1,22.0000,-9.9500,Top,0
U3,20.5000,-44.5000,Top,-90
U4,8.0000,-32.0000,Top,0
U5,28.0000,-32.0000,Top,0
